"","exe_type","problem_size","run_id","metric_type","metric","value","units","resource","nodes","cpus"
"1","mvapich2/libsci/fftw3/cce","akstd",1,"parameter","App:Version","1.5.0f",NA,"Ookami",1,48
"2","mvapich2/libsci/fftw3/cce","akstd",1,"parameter","Input:DGEMM Problem Size","1666",NA,"Ookami",1,48
"3","mvapich2/libsci/fftw3/cce","akstd",1,"parameter","Input:High Performance LINPACK Grid Cols","12",NA,"Ookami",1,48
"4","mvapich2/libsci/fftw3/cce","akstd",1,"parameter","Input:High Performance LINPACK Grid Rows","4",NA,"Ookami",1,48
"5","mvapich2/libsci/fftw3/cce","akstd",1,"parameter","Input:High Performance LINPACK Problem Size","20000",NA,"Ookami",1,48
"6","mvapich2/libsci/fftw3/cce","akstd",1,"parameter","Input:MPI Ranks","48",NA,"Ookami",1,48
"7","mvapich2/libsci/fftw3/cce","akstd",1,"parameter","Input:MPIRandom Problem Size","256.0","MWord","Ookami",1,48
"8","mvapich2/libsci/fftw3/cce","akstd",1,"parameter","Input:OpenMP Threads","0",NA,"Ookami",1,48
"9","mvapich2/libsci/fftw3/cce","akstd",1,"parameter","Input:PTRANS Problem Size","10000",NA,"Ookami",1,48
"10","mvapich2/libsci/fftw3/cce","akstd",1,"parameter","Input:STREAM Array Size","2777777","MWord","Ookami",1,48
"11","mvapich2/libsci/fftw3/cce","akstd",1,"statistic","Average Double-Precision General Matrix Multiplication (DGEMM) Floating-Point Performance","19893.899999999998","MFLOP per Second","Ookami",1,48
"12","mvapich2/libsci/fftw3/cce","akstd",1,"statistic","Average STREAM 'Add' Memory Bandwidth","13264.0768","MByte per Second","Ookami",1,48
"13","mvapich2/libsci/fftw3/cce","akstd",1,"statistic","Average STREAM 'Copy' Memory Bandwidth","11682.9184","MByte per Second","Ookami",1,48
"14","mvapich2/libsci/fftw3/cce","akstd",1,"statistic","Average STREAM 'Scale' Memory Bandwidth","11991.1424","MByte per Second","Ookami",1,48
"15","mvapich2/libsci/fftw3/cce","akstd",1,"statistic","Average STREAM 'Triad' Memory Bandwidth","13310.2592","MByte per Second","Ookami",1,48
"16","mvapich2/libsci/fftw3/cce","akstd",1,"statistic","Fast Fourier Transform (FFTW) Floating-Point Performance","7785.389999999999","MFLOP per Second","Ookami",1,48
"17","mvapich2/libsci/fftw3/cce","akstd",1,"statistic","High Performance LINPACK Floating-Point Performance","797719.0","MFLOP per Second","Ookami",1,48
"18","mvapich2/libsci/fftw3/cce","akstd",1,"statistic","High Performance LINPACK Run Time","6.68648","Second","Ookami",1,48
"19","mvapich2/libsci/fftw3/cce","akstd",1,"statistic","MPI Random Access","13.607299999999999","MUpdate per Second","Ookami",1,48
"20","mvapich2/libsci/fftw3/cce","akstd",1,"statistic","Parallel Matrix Transpose (PTRANS)","22191.7184","MByte per Second","Ookami",1,48
"21","mvapich2/libsci/fftw3/cce","akstd",2,"parameter","App:Version","1.5.0f",NA,"Ookami",1,48
"22","mvapich2/libsci/fftw3/cce","akstd",2,"parameter","Input:DGEMM Problem Size","1666",NA,"Ookami",1,48
"23","mvapich2/libsci/fftw3/cce","akstd",2,"parameter","Input:High Performance LINPACK Grid Cols","12",NA,"Ookami",1,48
"24","mvapich2/libsci/fftw3/cce","akstd",2,"parameter","Input:High Performance LINPACK Grid Rows","4",NA,"Ookami",1,48
"25","mvapich2/libsci/fftw3/cce","akstd",2,"parameter","Input:High Performance LINPACK Problem Size","20000",NA,"Ookami",1,48
"26","mvapich2/libsci/fftw3/cce","akstd",2,"parameter","Input:MPI Ranks","48",NA,"Ookami",1,48
"27","mvapich2/libsci/fftw3/cce","akstd",2,"parameter","Input:MPIRandom Problem Size","256.0","MWord","Ookami",1,48
"28","mvapich2/libsci/fftw3/cce","akstd",2,"parameter","Input:OpenMP Threads","0",NA,"Ookami",1,48
"29","mvapich2/libsci/fftw3/cce","akstd",2,"parameter","Input:PTRANS Problem Size","10000",NA,"Ookami",1,48
"30","mvapich2/libsci/fftw3/cce","akstd",2,"parameter","Input:STREAM Array Size","2777777","MWord","Ookami",1,48
"31","mvapich2/libsci/fftw3/cce","akstd",2,"statistic","Average Double-Precision General Matrix Multiplication (DGEMM) Floating-Point Performance","19931.4","MFLOP per Second","Ookami",1,48
"32","mvapich2/libsci/fftw3/cce","akstd",2,"statistic","Average STREAM 'Add' Memory Bandwidth","13255.4752","MByte per Second","Ookami",1,48
"33","mvapich2/libsci/fftw3/cce","akstd",2,"statistic","Average STREAM 'Copy' Memory Bandwidth","11623.8336","MByte per Second","Ookami",1,48
"34","mvapich2/libsci/fftw3/cce","akstd",2,"statistic","Average STREAM 'Scale' Memory Bandwidth","11991.9616","MByte per Second","Ookami",1,48
"35","mvapich2/libsci/fftw3/cce","akstd",2,"statistic","Average STREAM 'Triad' Memory Bandwidth","13328.896","MByte per Second","Ookami",1,48
"36","mvapich2/libsci/fftw3/cce","akstd",2,"statistic","Fast Fourier Transform (FFTW) Floating-Point Performance","7526.07","MFLOP per Second","Ookami",1,48
"37","mvapich2/libsci/fftw3/cce","akstd",2,"statistic","High Performance LINPACK Floating-Point Performance","796952.0","MFLOP per Second","Ookami",1,48
"38","mvapich2/libsci/fftw3/cce","akstd",2,"statistic","High Performance LINPACK Run Time","6.69292","Second","Ookami",1,48
"39","mvapich2/libsci/fftw3/cce","akstd",2,"statistic","MPI Random Access","13.5942","MUpdate per Second","Ookami",1,48
"40","mvapich2/libsci/fftw3/cce","akstd",2,"statistic","Parallel Matrix Transpose (PTRANS)","22154.9568","MByte per Second","Ookami",1,48
"41","mvapich2/libsci/fftw3/cce","akstd",3,"parameter","App:Version","1.5.0f",NA,"Ookami",1,48
"42","mvapich2/libsci/fftw3/cce","akstd",3,"parameter","Input:DGEMM Problem Size","1666",NA,"Ookami",1,48
"43","mvapich2/libsci/fftw3/cce","akstd",3,"parameter","Input:High Performance LINPACK Grid Cols","12",NA,"Ookami",1,48
"44","mvapich2/libsci/fftw3/cce","akstd",3,"parameter","Input:High Performance LINPACK Grid Rows","4",NA,"Ookami",1,48
"45","mvapich2/libsci/fftw3/cce","akstd",3,"parameter","Input:High Performance LINPACK Problem Size","20000",NA,"Ookami",1,48
"46","mvapich2/libsci/fftw3/cce","akstd",3,"parameter","Input:MPI Ranks","48",NA,"Ookami",1,48
"47","mvapich2/libsci/fftw3/cce","akstd",3,"parameter","Input:MPIRandom Problem Size","256.0","MWord","Ookami",1,48
"48","mvapich2/libsci/fftw3/cce","akstd",3,"parameter","Input:OpenMP Threads","0",NA,"Ookami",1,48
"49","mvapich2/libsci/fftw3/cce","akstd",3,"parameter","Input:PTRANS Problem Size","10000",NA,"Ookami",1,48
"50","mvapich2/libsci/fftw3/cce","akstd",3,"parameter","Input:STREAM Array Size","2777777","MWord","Ookami",1,48
"51","mvapich2/libsci/fftw3/cce","akstd",3,"statistic","Average Double-Precision General Matrix Multiplication (DGEMM) Floating-Point Performance","19893.6","MFLOP per Second","Ookami",1,48
"52","mvapich2/libsci/fftw3/cce","akstd",3,"statistic","Average STREAM 'Add' Memory Bandwidth","13256.0896","MByte per Second","Ookami",1,48
"53","mvapich2/libsci/fftw3/cce","akstd",3,"statistic","Average STREAM 'Copy' Memory Bandwidth","11627.4176","MByte per Second","Ookami",1,48
"54","mvapich2/libsci/fftw3/cce","akstd",3,"statistic","Average STREAM 'Scale' Memory Bandwidth","12013.7728","MByte per Second","Ookami",1,48
"55","mvapich2/libsci/fftw3/cce","akstd",3,"statistic","Average STREAM 'Triad' Memory Bandwidth","13309.0304","MByte per Second","Ookami",1,48
"56","mvapich2/libsci/fftw3/cce","akstd",3,"statistic","Fast Fourier Transform (FFTW) Floating-Point Performance","7518.0199999999995","MFLOP per Second","Ookami",1,48
"57","mvapich2/libsci/fftw3/cce","akstd",3,"statistic","High Performance LINPACK Floating-Point Performance","797819.0","MFLOP per Second","Ookami",1,48
"58","mvapich2/libsci/fftw3/cce","akstd",3,"statistic","High Performance LINPACK Run Time","6.68565","Second","Ookami",1,48
"59","mvapich2/libsci/fftw3/cce","akstd",3,"statistic","MPI Random Access","13.6327","MUpdate per Second","Ookami",1,48
"60","mvapich2/libsci/fftw3/cce","akstd",3,"statistic","Parallel Matrix Transpose (PTRANS)","22117.0688","MByte per Second","Ookami",1,48
"61","mvapich2/libsci/fftw3/cce","akstd",4,"parameter","App:Version","1.5.0f",NA,"Ookami",1,48
"62","mvapich2/libsci/fftw3/cce","akstd",4,"parameter","Input:DGEMM Problem Size","1666",NA,"Ookami",1,48
"63","mvapich2/libsci/fftw3/cce","akstd",4,"parameter","Input:High Performance LINPACK Grid Cols","12",NA,"Ookami",1,48
"64","mvapich2/libsci/fftw3/cce","akstd",4,"parameter","Input:High Performance LINPACK Grid Rows","4",NA,"Ookami",1,48
"65","mvapich2/libsci/fftw3/cce","akstd",4,"parameter","Input:High Performance LINPACK Problem Size","20000",NA,"Ookami",1,48
"66","mvapich2/libsci/fftw3/cce","akstd",4,"parameter","Input:MPI Ranks","48",NA,"Ookami",1,48
"67","mvapich2/libsci/fftw3/cce","akstd",4,"parameter","Input:MPIRandom Problem Size","256.0","MWord","Ookami",1,48
"68","mvapich2/libsci/fftw3/cce","akstd",4,"parameter","Input:OpenMP Threads","0",NA,"Ookami",1,48
"69","mvapich2/libsci/fftw3/cce","akstd",4,"parameter","Input:PTRANS Problem Size","10000",NA,"Ookami",1,48
"70","mvapich2/libsci/fftw3/cce","akstd",4,"parameter","Input:STREAM Array Size","2777777","MWord","Ookami",1,48
"71","mvapich2/libsci/fftw3/cce","akstd",4,"statistic","Average Double-Precision General Matrix Multiplication (DGEMM) Floating-Point Performance","19918.199999999997","MFLOP per Second","Ookami",1,48
"72","mvapich2/libsci/fftw3/cce","akstd",4,"statistic","Average STREAM 'Add' Memory Bandwidth","13320.192","MByte per Second","Ookami",1,48
"73","mvapich2/libsci/fftw3/cce","akstd",4,"statistic","Average STREAM 'Copy' Memory Bandwidth","11690.8032","MByte per Second","Ookami",1,48
"74","mvapich2/libsci/fftw3/cce","akstd",4,"statistic","Average STREAM 'Scale' Memory Bandwidth","11991.1424","MByte per Second","Ookami",1,48
"75","mvapich2/libsci/fftw3/cce","akstd",4,"statistic","Average STREAM 'Triad' Memory Bandwidth","13307.8016","MByte per Second","Ookami",1,48
"76","mvapich2/libsci/fftw3/cce","akstd",4,"statistic","Fast Fourier Transform (FFTW) Floating-Point Performance","7203.929999999999","MFLOP per Second","Ookami",1,48
"77","mvapich2/libsci/fftw3/cce","akstd",4,"statistic","High Performance LINPACK Floating-Point Performance","801758.0","MFLOP per Second","Ookami",1,48
"78","mvapich2/libsci/fftw3/cce","akstd",4,"statistic","High Performance LINPACK Run Time","6.6528","Second","Ookami",1,48
"79","mvapich2/libsci/fftw3/cce","akstd",4,"statistic","MPI Random Access","13.4718","MUpdate per Second","Ookami",1,48
"80","mvapich2/libsci/fftw3/cce","akstd",4,"statistic","Parallel Matrix Transpose (PTRANS)","21682.9952","MByte per Second","Ookami",1,48
"81","mvapich2/libsci/fftw3/cce","akstd",5,"parameter","App:Version","1.5.0f",NA,"Ookami",1,48
"82","mvapich2/libsci/fftw3/cce","akstd",5,"parameter","Input:DGEMM Problem Size","1666",NA,"Ookami",1,48
"83","mvapich2/libsci/fftw3/cce","akstd",5,"parameter","Input:High Performance LINPACK Grid Cols","12",NA,"Ookami",1,48
"84","mvapich2/libsci/fftw3/cce","akstd",5,"parameter","Input:High Performance LINPACK Grid Rows","4",NA,"Ookami",1,48
"85","mvapich2/libsci/fftw3/cce","akstd",5,"parameter","Input:High Performance LINPACK Problem Size","20000",NA,"Ookami",1,48
"86","mvapich2/libsci/fftw3/cce","akstd",5,"parameter","Input:MPI Ranks","48",NA,"Ookami",1,48
"87","mvapich2/libsci/fftw3/cce","akstd",5,"parameter","Input:MPIRandom Problem Size","256.0","MWord","Ookami",1,48
"88","mvapich2/libsci/fftw3/cce","akstd",5,"parameter","Input:OpenMP Threads","0",NA,"Ookami",1,48
"89","mvapich2/libsci/fftw3/cce","akstd",5,"parameter","Input:PTRANS Problem Size","10000",NA,"Ookami",1,48
"90","mvapich2/libsci/fftw3/cce","akstd",5,"parameter","Input:STREAM Array Size","2777777","MWord","Ookami",1,48
"91","mvapich2/libsci/fftw3/cce","akstd",5,"statistic","Average Double-Precision General Matrix Multiplication (DGEMM) Floating-Point Performance","19921.3","MFLOP per Second","Ookami",1,48
"92","mvapich2/libsci/fftw3/cce","akstd",5,"statistic","Average STREAM 'Add' Memory Bandwidth","13310.8736","MByte per Second","Ookami",1,48
"93","mvapich2/libsci/fftw3/cce","akstd",5,"statistic","Average STREAM 'Copy' Memory Bandwidth","11671.4496","MByte per Second","Ookami",1,48
"94","mvapich2/libsci/fftw3/cce","akstd",5,"statistic","Average STREAM 'Scale' Memory Bandwidth","11996.4672","MByte per Second","Ookami",1,48
"95","mvapich2/libsci/fftw3/cce","akstd",5,"statistic","Average STREAM 'Triad' Memory Bandwidth","13333.8112","MByte per Second","Ookami",1,48
"96","mvapich2/libsci/fftw3/cce","akstd",5,"statistic","Fast Fourier Transform (FFTW) Floating-Point Performance","7674.86","MFLOP per Second","Ookami",1,48
"97","mvapich2/libsci/fftw3/cce","akstd",5,"statistic","High Performance LINPACK Floating-Point Performance","803274.0","MFLOP per Second","Ookami",1,48
"98","mvapich2/libsci/fftw3/cce","akstd",5,"statistic","High Performance LINPACK Run Time","6.64024","Second","Ookami",1,48
"99","mvapich2/libsci/fftw3/cce","akstd",5,"statistic","MPI Random Access","13.438699999999999","MUpdate per Second","Ookami",1,48
"100","mvapich2/libsci/fftw3/cce","akstd",5,"statistic","Parallel Matrix Transpose (PTRANS)","22621.184","MByte per Second","Ookami",1,48
"101","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","App:Version","1.5.0f",NA,"Ookami",1,48
"102","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","Input:DGEMM Problem Size","1666",NA,"Ookami",1,48
"103","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","Input:High Performance LINPACK Grid Cols","12",NA,"Ookami",1,48
"104","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","Input:High Performance LINPACK Grid Rows","4",NA,"Ookami",1,48
"105","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","Input:High Performance LINPACK Problem Size","20000",NA,"Ookami",1,48
"106","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","Input:MPI Ranks","48",NA,"Ookami",1,48
"107","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","Input:MPIRandom Problem Size","256.0","MWord","Ookami",1,48
"108","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","Input:OpenMP Threads","0",NA,"Ookami",1,48
"109","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","Input:PTRANS Problem Size","10000",NA,"Ookami",1,48
"110","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","Input:STREAM Array Size","2777777","MWord","Ookami",1,48
"111","mvapich2/libsci/fftw3/cce","akstd",6,"statistic","Average Double-Precision General Matrix Multiplication (DGEMM) Floating-Point Performance","19902.3","MFLOP per Second","Ookami",1,48
"112","mvapich2/libsci/fftw3/cce","akstd",6,"statistic","Average STREAM 'Add' Memory Bandwidth","13281.8944","MByte per Second","Ookami",1,48
"113","mvapich2/libsci/fftw3/cce","akstd",6,"statistic","Average STREAM 'Copy' Memory Bandwidth","11660.8","MByte per Second","Ookami",1,48
"114","mvapich2/libsci/fftw3/cce","akstd",6,"statistic","Average STREAM 'Scale' Memory Bandwidth","11990.4256","MByte per Second","Ookami",1,48
