title
"App Kernel Data"
parameters
"App Kernel = IOR","Resource = stampede2-skx","Metric = POSIX N-to-N Read Aggregate Throughput","Processing Units = 1 node"
start,end
2020-07-25,2020-12-03
---------
Date,Value,Control,Changed
"2020-07-25 00:00:00",4527,0,no
"2020-07-26 00:00:00",4702.25,0,no
"2020-07-27 00:00:00",4709.25,0,no
"2020-07-28 00:00:00",4081.4275,0,no
"2020-07-29 00:00:00",3847.2775,0,no
"2020-07-30 00:00:00",4403,0,no
"2020-07-31 00:00:00",4624.75,0,no
"2020-08-01 00:00:00",4685.8333333333,0,no
"2020-08-02 00:00:00",4527.75,0,no
"2020-08-03 00:00:00",4589.59,0,no
"2020-08-04 00:00:00",4759.5,0,no
"2020-08-05 00:00:00",3589.5475,0,no
"2020-08-06 00:00:00",4270.0275,0,no
"2020-08-07 00:00:00",3534.9775,0,no
"2020-08-08 00:00:00",4696.5,0,no
"2020-08-09 00:00:00",4488.25,0,no
"2020-08-10 00:00:00",4677.5,0,no
"2020-08-11 00:00:00",4361.915,0,no
"2020-08-12 00:00:00",3980.0375,0,no
"2020-08-13 00:00:00",4398.5,0,no
"2020-08-14 00:00:00",4386,0,no
"2020-08-15 00:00:00",4949.5,0,no
"2020-08-16 00:00:00",4563.75,0,no
"2020-08-17 00:00:00",4665.25,0,no
"2020-09-21 00:00:00",4594,0,no
"2020-09-22 00:00:00",4291,0,no
"2020-09-23 00:00:00",4251.25,0,no
"2020-09-24 00:00:00",4658,0,no
"2020-10-05 00:00:00",4608.6666666667,0,no
"2020-10-06 00:00:00",4424,0,no
"2020-10-07 00:00:00",4491,0,no
"2020-10-08 00:00:00",4974,0,no
"2020-10-09 00:00:00",4542,0,no
"2020-10-10 00:00:00",4775,0,no
"2020-10-11 00:00:00",4767,0,no
"2020-10-12 00:00:00",4438,0,no
"2020-10-13 00:00:00",4305,0,no
"2020-10-14 00:00:00",4376,0,no
"2020-10-15 00:00:00",4508,0,no
"2020-10-16 00:00:00",4144,0,no
"2020-10-17 00:00:00",4523,0,no
"2020-10-18 00:00:00",4603,0,no
"2020-10-19 00:00:00",4043,0,no
"2020-10-20 00:00:00",4535,0,no
"2020-10-21 00:00:00",4630,0,no
"2020-10-22 00:00:00",4054,0,no
"2020-10-23 00:00:00",4193,0,no
"2020-10-24 00:00:00",5108,0,no
"2020-10-25 00:00:00",4556,0,no
"2020-10-26 00:00:00",5144,0,no
"2020-10-27 00:00:00",4463,0,no
"2020-10-28 00:00:00",4885,0,no
"2020-10-29 00:00:00",4499,0,no
"2020-10-30 00:00:00",4866,0,no
"2020-10-31 00:00:00",449,0,no
"2020-11-01 00:00:00",4409,0,no
"2020-11-02 00:00:00",4741,0,no
"2020-11-03 00:00:00",4207,0,no
"2020-11-04 00:00:00",4481,0,no
"2020-11-05 00:00:00",4645,0,no
"2020-11-06 00:00:00",1942.71,0,no
"2020-11-07 00:00:00",4490,0,no
"2020-11-08 00:00:00",4588,0,no
"2020-11-09 00:00:00",4672,0,no
"2020-11-10 00:00:00",3968,0,no
"2020-11-11 00:00:00",3707,0,no
"2020-11-12 00:00:00",3700,0,no
"2020-11-13 00:00:00",3393.92,0,no
"2020-11-14 00:00:00",3918,0,no
"2020-11-15 00:00:00",3956,0,no
"2020-11-16 00:00:00",4259,0,no
"2020-11-17 00:00:00",4018,0,no
"2020-11-19 00:00:00",3002.39,0,no
"2020-11-20 00:00:00",4926,0,no
"2020-11-21 00:00:00",2999.58,0,no
"2020-11-22 00:00:00",4515,0,no
"2020-11-23 00:00:00",4538,0,no
"2020-11-24 00:00:00",4337,0,no
"2020-11-25 00:00:00",4696,0,no
"2020-11-26 00:00:00",4065,0,no
"2020-11-27 00:00:00",4358,0,no
"2020-11-28 00:00:00",4775,0,no
"2020-11-29 00:00:00",4665,0,no
"2020-11-30 00:00:00",4544,0,no
"2020-12-01 00:00:00",3720,0,no
"2020-12-02 00:00:00",3687,0,no
"2020-12-03 00:00:00",3552.67,0,no
---------
title
"App Kernel Data"
parameters
"App Kernel = IOR","Resource = stampede2-skx","Metric = POSIX N-to-N Write Aggregate Throughput","Processing Units = 1 node"
start,end
2020-07-25,2020-12-03
---------
Date,Value,Control,Changed
"2020-07-25 00:00:00",10214,0,no
"2020-07-26 00:00:00",9446,0,no
"2020-07-27 00:00:00",11013,0,no
"2020-07-28 00:00:00",8794.75,0,no
"2020-07-29 00:00:00",10089.5,0,no
"2020-07-30 00:00:00",9565,0,no
"2020-07-31 00:00:00",9576.5,0,no
"2020-08-01 00:00:00",10201.166666667,0,no
"2020-08-02 00:00:00",10711.5,0,no
"2020-08-03 00:00:00",9204.75,0,no
"2020-08-04 00:00:00",10183,0,no
"2020-08-05 00:00:00",10271.25,0,no
"2020-08-06 00:00:00",7196.01,0,no
"2020-08-07 00:00:00",7744.5,0,no
"2020-08-08 00:00:00",9448,0,no
"2020-08-09 00:00:00",10233,0,no
"2020-08-10 00:00:00",10143,0,no
"2020-08-11 00:00:00",9551.5,0,no
"2020-08-12 00:00:00",8455.5,0,no
"2020-08-13 00:00:00",9585.5,0,no
"2020-08-14 00:00:00",10535.75,0,no
"2020-08-15 00:00:00",8746.25,0,no
"2020-08-16 00:00:00",10264.75,0,no
"2020-08-17 00:00:00",10013.75,0,no
"2020-09-21 00:00:00",9447.25,0,no
"2020-09-22 00:00:00",10260,0,no
"2020-09-23 00:00:00",10379.25,0,no
"2020-09-24 00:00:00",9243,0,no
"2020-10-05 00:00:00",10442.333333333,0,no
"2020-10-06 00:00:00",11138,0,no
"2020-10-07 00:00:00",10965,0,no
"2020-10-08 00:00:00",3536.64,0,no
"2020-10-09 00:00:00",10113,0,no
"2020-10-10 00:00:00",10530,0,no
"2020-10-11 00:00:00",10869,0,no
"2020-10-12 00:00:00",10409,0,no
"2020-10-13 00:00:00",10545,0,no
"2020-10-14 00:00:00",10794,0,no
"2020-10-15 00:00:00",11148,0,no
"2020-10-16 00:00:00",11158,0,no
"2020-10-17 00:00:00",11013,0,no
"2020-10-18 00:00:00",9960,0,no
"2020-10-19 00:00:00",10640,0,no
"2020-10-20 00:00:00",8140,0,no
"2020-10-21 00:00:00",9691,0,no
"2020-10-22 00:00:00",10382,0,no
"2020-10-23 00:00:00",10882,0,no
"2020-10-24 00:00:00",10134,0,no
"2020-10-25 00:00:00",10347,0,no
"2020-10-26 00:00:00",11155,0,no
"2020-10-27 00:00:00",10692,0,no
"2020-10-28 00:00:00",9588,0,no
"2020-10-29 00:00:00",10767,0,no
"2020-10-30 00:00:00",9831,0,no
"2020-10-31 00:00:00",10932,0,no
"2020-11-01 00:00:00",9839,0,no
"2020-11-02 00:00:00",10180,0,no
"2020-11-03 00:00:00",8435,0,no
"2020-11-04 00:00:00",6189,0,no
"2020-11-05 00:00:00",9105,0,no
"2020-11-06 00:00:00",4301,0,no
"2020-11-07 00:00:00",10347,0,no
"2020-11-08 00:00:00",10752,0,no
