title
"App Kernel Data"
parameters
"App Kernel = mdtest","Resource = stampede2-skx","Metric = Directory creation (single tree directory per process)","Processing Units = 1 node"
start,end
2020-11-02,2020-12-01
---------
Date,Value,Control,Changed
"2020-11-02 00:30:02",19574.033,0,no
"2020-11-03 00:30:04",28030.613,0,no
"2020-11-04 00:30:10",25308.329,0,no
"2020-11-05 00:30:18",23563.902,0,no
"2020-11-06 00:30:07",21315.583,0,no
"2020-11-07 00:30:11",21233.229,0,no
"2020-11-09 00:30:07",2514.512,-0.20621190650399,no
"2020-11-10 00:30:05",24242.902,0,no
"2020-11-11 00:30:07",14919.701,0,no
"2020-11-12 00:30:07",20521.019,0,no
"2020-11-13 00:30:04",21961.416,0,no
"2020-11-14 00:30:08",25869.051,0,no
"2020-11-15 00:30:06",20138.725,0,no
"2020-11-16 00:30:02",22422.764,0,no
"2020-11-17 00:30:06",19672.221,0,no
"2020-11-19 14:49:24",25583.145,0,no
"2020-11-20 00:30:07",17365.434,0,no
"2020-11-21 00:30:06",24260.200,0,no
"2020-11-22 00:30:08",24289.430,0,no
"2020-11-23 00:30:04",22756.089,0,no
"2020-11-24 00:30:05",26757.632,0,no
"2020-11-25 00:30:10",24220.233,0,no
"2020-11-26 00:30:03",15982.882,0,no
"2020-11-27 00:30:06",23349.951,0,no
"2020-11-28 00:30:03",23527.154,0,no
"2020-11-29 01:00:14",25586.042,0,no
"2020-12-01 00:58:08",23558.340,0,no
---------
title
"App Kernel Data"
parameters
"App Kernel = mdtest","Resource = stampede2-skx","Metric = Directory removal (single tree directory per process)","Processing Units = 1 node"
start,end
2020-11-02,2020-12-01
---------
Date,Value,Control,Changed
"2020-11-02 00:30:02",21179.581,0,no
"2020-11-03 00:30:04",31941.665,0,no
"2020-11-04 00:30:10",26566.984,0,no
"2020-11-05 00:30:18",27295.662,0,no
"2020-11-06 00:30:07",24078.363,0,no
"2020-11-07 00:30:11",25214.602,0,no
