title
"App Kernel Data"
parameters
"App Kernel = GROMACS","Resource = Ookami-OSSFE","Metric = Simulation Speed","Processing Units = 1 node"
start,end
2021-02-23,2021-02-25
---------
Date,Value,Control,Changed
"2021-02-23 01:34:51",20.198,0,no
"2021-02-23 01:36:23",20.099,0,no
"2021-02-23 01:38:24",20.278,0,no
"2021-02-23 01:42:23",20.331,0,no
"2021-02-23 01:44:23",20.135,0,no
"2021-02-23 01:50:23",17.509,0,no
"2021-02-23 01:52:24",20.271,0,no
"2021-02-23 07:17:03",19.781,0,no
"2021-02-25 07:17:03",20.125,0,no
---------
